id,hypothesis_category,text,expected_label,rationale
1,negation,"The latest update did not improve battery life at all.",negative,"Tests whether the model picks up the negation cue or just the trigger word 'improve'"
2,lexical_trigger,"This app is no longer reliable on my phone.",negative,"Strong positive cue 'reliable' negated by 'no longer'; tests cue-vs-context handling"
3,domain_shift,"The team won the championship final last weekend.",neutral,"Sports content unrelated to app-review training; tests domain-shift robustness"
4,negation,"The service was not bad at all.",positive,"Double negation ('not bad') should result in a positive sentiment."
5,negation,"I can't say I disliked the interface.",positive,"Complex negation ('can't say I disliked') should be positive."
6,negation,"It failed to meet even the lowest expectations.",negative,"Negation via 'failed to' with a positive-ish word 'meet'."
7,negation,"The app didn't stop crashing until I reinstalled it.",negative,"Negation of 'stop crashing' tests if it sees the ongoing failure."
8,negation,"I wouldn't call this app user-friendly.",negative,"Explicit negation of a strong positive trait."
9,lexical_trigger,"This is a masterpiece of bugs and crashes.",negative,"Uses 'masterpiece' (positive) in a negative context."
10,lexical_trigger,"The support team is remarkably slow.",negative,"'Remarkably' (often positive) used to intensify a negative trait."
11,lexical_trigger,"I have a great deal of trouble with the login.",negative,"'Great' (positive) used as a quantifier for 'trouble'."
12,lexical_trigger,"It's a wonderful way to waste your time.",negative,"'Wonderful' (positive) used sarcastically to describe a negative outcome."
13,lexical_trigger,"The design is beautiful but the functionality is non-existent.",negative,"Positive trigger 'beautiful' contrasted with fatal flaw."
14,domain_shift,"Add two eggs and whisk until fluffy.",neutral,"Recipe domain; tests if neutral content is misclassified."
15,domain_shift,"The stock market saw a sharp decline today.",neutral,"Finance domain; checks for bias towards negative labels in news-like text."
16,domain_shift,"The defendant pleaded not guilty to all charges.",neutral,"Legal domain; checks if 'not guilty' (positive-ish) or 'charges' (negative-ish) dominates."
17,domain_shift,"Jupiter is the largest planet in our solar system.",neutral,"Scientific fact; should be strictly neutral."
18,domain_shift,"He scored a goal in the final minute of the match.",neutral,"Sports domain; checks for domain robustness."
19,length_extreme,"Terrible.",negative,"Extremely short negative review."
20,length_extreme,"Good.",positive,"Extremely short positive review."
21,length_extreme,"Meh.",neutral,"Extremely short neutral review."
22,length_extreme,"A very long sentence repeating the same positive sentiment over and over again to see if the model gets lost in the noise of a hundred words that all mean the same thing but are just phrased slightly differently.",positive,"Tests if length dilutes the sentiment signal."
23,length_extreme,"This app is quite literally the most frustrating piece of software I have ever had the misfortune of installing on any device I have ever owned in my entire life which spans several decades of using computers and mobile phones of all kinds.",negative,"Tests if long-winded frustration is captured."
24,sarcasm,"Oh great another update that breaks everything.",negative,"Sarcastic use of 'great' to express frustration."
25,sarcasm,"I love how the app deletes my data without asking.",negative,"Sarcastic use of 'love' for a data loss event."
26,sarcasm,"Thanks for the useless notification at 3 AM.",negative,"Sarcastic 'thanks' for a negative experience."
27,sarcasm,"Exactly what I needed a high-priced subscription for basic features.",negative,"Sarcastic 'exactly what I needed'."
28,sarcasm,"Brilliant work making the UI even more confusing than before.",negative,"Sarcastic 'brilliant work'."
29,other,"This app is totaly useles.",negative,"Misspelled words ('totaly', 'useles') test spelling robustness."
30,other,"The best worst app ever.",negative,"Oxymoron/Irony testing."
31,other,"I'm so hapy it finally works after 50 tries.",positive,"Positive sentiment with misspelling and context of prior failure."
32,other,"5/5 stars for the bugs.",negative,"Numerical rating logic used sarcastically in text."
33,other,"The app is okay but could be better.",neutral,"Mixed sentiment leaning towards neutral."
